! Data file for `e3depot.mos'

CAP: [300 250 100 180 275 300 200 220 270 250 230 180]

COST: [100 80 50 50 60 100 120 90 60 70 65 110
       120 90 60 70 65 110 140 110 80 80 75 130
       140 110 80 80 75 130 160 125 100 100 80 150
       160 125 100 100 80 150 190 150 130 1000000 1000000 1000000
       190 150 130 1000000 1000000 1000000 200 180 150 1000000 1000000 1000000
       200 180 150 1000000 1000000 1000000 100 80 50 50 60 100
       100 80 50 50 60 100 120 90 60 70 65 110
       120 90 60 70 65 110 140 110 80 80 75 130
       140 110 80 80 75 130 160 125 100 100 80 150
       160 125 100 100 80 150 190 150 130 1000000 1000000 1000000
       190 150 130 1000000 1000000 1000000 200 180 150 1000000 1000000 1000000
       200 180 150 1000000 1000000 1000000 100 80 50 50 60 100]

DEM: [120 80 75 100 110 100 90 60 30 150 95 120]

CFIX: [3500 9000 10000 4000 3000 9000 9000 3000 4000 10000 9000 3500]
