! Data file for `j2bigbro.mos'

STREET: 
[(1  2) 1
 (1  3) 1
 (2 39) 1
 (2 41) 1
 (3  4) 1
 (3 11) 1
 (3 12) 1
 (3 16) 1
 (4  5) 1
 (4  6) 1
 (4  9) 1
 (6  7) 1
 (6  8) 1
 (9 10) 1
(11 21) 1
(12 13) 1
(12 15) 1
(13 14) 1
(14 15) 1
(14 18) 1
(15 16) 1
(15 19) 1
(16 20) 1
(17 18) 1
(18 19) 1
(19 20) 1
(20 21) 1
(21 22) 1
(22 23) 1
(22 25) 1
(23 32) 1
(24 25) 1
(25 26) 1
(25 30) 1
(26 27) 1
(26 28) 1
(28 29) 1
(30 31) 1
(31 32) 1
(31 33) 1
(32 38) 1
(32 39) 1
(33 34) 1
(33 37) 1
(34 35) 1
(35 36) 1
(37 38) 1
(37 43) 1
(38 40) 1
(39 40) 1
(40 41) 1
(41 42) 1
(43 44) 1
(44 49) 1
(44 45) 1
(45 46) 1
(45 47) 1
(47 48) 1]
